time,model_id,model_name,port_name,data
0,2,coastGuardShip,,The ship will arrive in 0 hours.
0,3,evacueeManager,,OFF SHIP: White;0;Green;475;Yellow;20;Red;5;Black;0;ON SHIP: White;0;Green;0;Yellow;0;Red;0;Evacuees to Transfer;
0,4,helipadManager,,;No helos are at ES
0,5,helicopterQueue,,;No helos are waiting to land
0,7,filterLoc,,
0,8,evacuee,,Evacuee;500;in triage state;R;is at the evacuation site
0,10,filterLoc,,
0,11,evacuee,,Evacuee;498;in triage state;R;is at the evacuation site
0,13,filterLoc,,
0,14,evacuee,,Evacuee;494;in triage state;Y;is at the evacuation site
0,16,filterLoc,,
0,17,evacuee,,Evacuee;492;in triage state;Y;is at the evacuation site
0,19,filterLoc,,
0,20,evacuee,,Evacuee;489;in triage state;Y;is at the evacuation site
0,22,filterLoc,,
0,23,evacuee,,Evacuee;486;in triage state;Y;is at the evacuation site
0,25,filterLoc,,
0,26,evacuee,,Evacuee;484;in triage state;Y;is at the evacuation site
0,28,filterLoc,,
0,29,evacuee,,Evacuee;483;in triage state;Y;is at the evacuation site
0,31,filterLoc,,
0,32,evacuee,,Evacuee;482;in triage state;Y;is at the evacuation site
0,34,filterLoc,,
0,35,evacuee,,Evacuee;499;in triage state;R;is at the evacuation site
0,37,filterLoc,,
0,38,evacuee,,Evacuee;479;in triage state;Y;is at the evacuation site
0,40,filterLoc,,
0,41,evacuee,,Evacuee;478;in triage state;Y;is at the evacuation site
0,43,filterLoc,,
0,44,evacuee,,Evacuee;476;in triage state;Y;is at the evacuation site
0,46,filterLoc,,
0,47,evacuee,,Evacuee;475;in triage state;G;is at the evacuation site
0,49,filterLoc,,
0,50,evacuee,,Evacuee;472;in triage state;G;is at the evacuation site
0,52,filterLoc,,
0,53,evacuee,,Evacuee;471;in triage state;G;is at the evacuation site
0,55,filterLoc,,
0,56,evacuee,,Evacuee;468;in triage state;G;is at the evacuation site
0,58,filterLoc,,
0,59,evacuee,,Evacuee;463;in triage state;G;is at the evacuation site
0,61,filterLoc,,
0,62,evacuee,,Evacuee;462;in triage state;G;is at the evacuation site
0,64,filterLoc,,
0,65,evacuee,,Evacuee;461;in triage state;G;is at the evacuation site
0,67,filterLoc,,
0,68,evacuee,,Evacuee;459;in triage state;G;is at the evacuation site
0,70,filterLoc,,
0,71,evacuee,,Evacuee;495;in triage state;Y;is at the evacuation site
0,73,filterLoc,,
0,74,evacuee,,Evacuee;477;in triage state;Y;is at the evacuation site
0,76,filterLoc,,
0,77,evacuee,,Evacuee;458;in triage state;G;is at the evacuation site
0,79,filterLoc,,
0,80,evacuee,,Evacuee;456;in triage state;G;is at the evacuation site
0,82,filterLoc,,
0,83,evacuee,,Evacuee;455;in triage state;G;is at the evacuation site
0,85,filterLoc,,
0,86,evacuee,,Evacuee;448;in triage state;G;is at the evacuation site
0,88,filterLoc,,
0,89,evacuee,,Evacuee;445;in triage state;G;is at the evacuation site
0,91,filterLoc,,
0,92,evacuee,,Evacuee;442;in triage state;G;is at the evacuation site
0,94,filterLoc,,
0,95,evacuee,,Evacuee;441;in triage state;G;is at the evacuation site
0,97,filterLoc,,
0,98,evacuee,,Evacuee;439;in triage state;G;is at the evacuation site
0,100,filterLoc,,
0,101,evacuee,,Evacuee;437;in triage state;G;is at the evacuation site
0,103,filterLoc,,
0,104,evacuee,,Evacuee;436;in triage state;G;is at the evacuation site
0,106,filterLoc,,
0,107,evacuee,,Evacuee;434;in triage state;G;is at the evacuation site
0,109,filterLoc,,
0,110,evacuee,,Evacuee;433;in triage state;G;is at the evacuation site
0,112,filterLoc,,
0,113,evacuee,,Evacuee;428;in triage state;G;is at the evacuation site
0,115,filterLoc,,
0,116,evacuee,,Evacuee;426;in triage state;G;is at the evacuation site
0,118,filterLoc,,
0,119,evacuee,,Evacuee;423;in triage state;G;is at the evacuation site
0,121,filterLoc,,
0,122,evacuee,,Evacuee;420;in triage state;G;is at the evacuation site
0,124,filterLoc,,
0,125,evacuee,,Evacuee;419;in triage state;G;is at the evacuation site
0,127,filterLoc,,
0,128,evacuee,,Evacuee;414;in triage state;G;is at the evacuation site
0,130,filterLoc,,
0,131,evacuee,,Evacuee;411;in triage state;G;is at the evacuation site
0,133,filterLoc,,
0,134,evacuee,,Evacuee;422;in triage state;G;is at the evacuation site
0,136,filterLoc,,
0,137,evacuee,,Evacuee;409;in triage state;G;is at the evacuation site
0,139,filterLoc,,
0,140,evacuee,,Evacuee;408;in triage state;G;is at the evacuation site
0,142,filterLoc,,
